crop,temperature,humidity,market_price,disease_risk,water_need
Ragi,31.9,37.3,3513.6,0,0
Sugarcane,27.3,46.2,2087.13,0,0
Sugarcane,34.0,68.3,2030.88,0,1
Paddy,31.4,92.8,1800.55,2,0
Sugarcane,34.3,64.5,2010.6,0,1
Sugarcane,29.4,64.5,2209.24,0,0
Ragi,26.8,61.4,2759.58,0,0
Ragi,34.7,48.7,3617.92,0,1
Ragi,22.6,32.6,3733.55,0,0
Paddy,32.5,70.7,1868.37,0,0
Ragi,30.2,54.4,3583.15,0,0
Ragi,33.6,40.4,3361.28,0,1
Paddy,27.5,67.3,2197.39,0,0
Sugarcane,39.5,71.0,3409.25,1,1
Paddy,34.0,85.5,2028.58,2,1
Paddy,24.5,61.6,2027.73,0,0
Sugarcane,29.1,73.1,2535.13,0,0
Sugarcane,27.1,72.1,2111.83,0,0
Ragi,26.4,45.8,2881.53,0,0
Ragi,32.2,58.3,3447.71,0,0
Sugarcane,34.1,77.1,2976.62,0,1
Ragi,32.8,48.0,2624.03,0,0
Ragi,24.7,43.0,3448.49,0,0
Paddy,33.5,76.5,1883.72,0,1
Paddy,33.0,85.3,1965.19,2,1
Paddy,28.4,78.3,2099.28,0,0
Paddy,27.7,67.1,2427.03,0,0
Sugarcane,29.7,60.3,3361.35,0,0
Ragi,29.1,51.6,2763.98,0,0
Sugarcane,26.2,51.6,2241.83,0,0
Paddy,30.1,70.3,1873.85,0,0
Paddy,33.5,71.4,1885.46,0,1
Sugarcane,29.8,44.4,2341.9,0,0
Paddy,22.0,72.3,2013.35,0,0
Paddy,28.6,74.6,1955.48,0,0
Ragi,24.0,39.8,2718.78,0,0
Sugarcane,31.1,42.6,2380.87,0,0
Paddy,31.1,84.9,1903.66,0,0
Sugarcane,29.0,79.1,2616.56,0,0
Ragi,24.2,66.3,2811.43,1,0
Paddy,28.9,75.7,2187.03,0,0
Ragi,30.1,60.5,2808.93,0,0
Ragi,32.0,48.8,3778.45,0,0
Paddy,29.0,63.2,2384.71,0,0
Ragi,22.8,31.6,3268.16,0,0
Ragi,23.3,58.4,3552.35,0,0
Ragi,22.6,57.6,3002.76,0,0
Paddy,32.9,83.6,2314.65,0,0
Paddy,34.0,90.7,1980.56,2,1
Paddy,34.8,78.1,1982.58,0,1
Sugarcane,26.4,75.9,3350.63,0,0
Ragi,22.8,41.2,3410.47,0,0
Ragi,32.8,46.2,3654.1,0,0
Ragi,34.0,61.4,3369.68,0,1
Paddy,22.1,63.6,2264.45,0,0
Sugarcane,29.3,52.2,2728.42,0,0
Ragi,29.8,39.0,3425.83,0,0
Sugarcane,32.4,47.2,2549.7,0,0
Ragi,30.8,42.3,3205.3,0,0
Ragi,25.5,40.6,2817.19,0,0
Paddy,34.7,77.0,2434.27,0,1
Ragi,31.9,50.1,3249.98,0,0
Sugarcane,27.9,68.9,2421.16,0,0
Ragi,31.5,31.7,3792.92,0,0
Paddy,34.4,92.0,2059.11,2,1
Sugarcane,39.3,53.2,2829.15,0,1
Ragi,34.5,64.1,2882.78,0,1
Sugarcane,27.9,50.7,2727.92,0,0
Paddy,29.2,92.8,2287.22,2,0
Paddy,23.3,81.5,2493.04,0,0
Paddy,25.3,70.3,2025.79,0,0
Sugarcane,27.0,68.4,2829.23,0,0
Paddy,32.5,88.4,2406.95,2,0
Sugarcane,26.2,40.2,2941.84,0,0
Sugarcane,26.1,55.9,2076.15,0,0
Ragi,25.1,45.0,2622.18,0,0
Ragi,30.1,43.1,2701.55,0,0
Paddy,25.7,80.7,1821.35,0,0
Paddy,32.7,72.6,1888.94,0,0
Sugarcane,37.4,50.9,3447.88,0,1
Ragi,21.3,32.1,3190.76,0,0
Ragi,30.5,35.5,2672.57,0,0
Paddy,28.7,71.3,2356.63,0,0
Ragi,26.5,59.8,2826.12,0,0
Paddy,34.5,89.3,2287.18,2,1
Sugarcane,25.9,76.6,2663.53,0,0
Paddy,23.2,66.4,2454.23,0,0
Sugarcane,39.3,69.5,2831.53,0,1
Paddy,31.5,61.7,2196.23,0,0
Ragi,31.4,30.6,2650.89,0,0
Sugarcane,26.4,52.5,3469.27,0,0
Sugarcane,32.1,43.9,2737.42,0,0
Ragi,25.2,48.6,3344.71,0,0
